"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,http://identifiers.org/smpdb/SMP00670,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,"Cardiac conduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-5576891
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,"Muscle contraction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-397014
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,"Potassium Channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296071
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,"Voltage gated Potassium channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296072
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,"Phase 1 - inactivation of fast Na+ channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-5576894
https://pharos.nih.gov/idg/targets/Q9UIX4,Q9UIX4,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/Q9UIX4,Q9UIX4,"Potassium Channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296071
https://pharos.nih.gov/idg/targets/Q9UIX4,Q9UIX4,"Voltage gated Potassium channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296072
https://pharos.nih.gov/idg/targets/Q14721,Q14721,Metabolism,"Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1430728
https://pharos.nih.gov/idg/targets/Q14721,Q14721,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/Q14721,Q14721,"Potassium Channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1296071
https://pharos.nih.gov/idg/targets/Q14721,Q14721,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-381676
